epoch,lr,train_loss_step_mean,loss_reg,loss_kl_raw,loss_kl,kl_weight,lambda_u,delta_par_sq_mean,delta_perp_sq_mean,alpha_mean,wBw_mean,var_logits_mean,var_logits_max,correction_abs_mean,val_loss,val_acc,val_nlpd,val_ece,val_aece,val_raw_cov_99,val_sel_acc_99,val_reliable_99,val_cov_99,val_class_cov_99,val_raw_cov_95,val_sel_acc_95,val_reliable_95,val_cov_95,val_class_cov_95,val_raw_cov_90,val_sel_acc_90,val_reliable_90,val_cov_90,val_class_cov_90,val_raw_cov_85,val_sel_acc_85,val_reliable_85,val_cov_85,val_class_cov_85,val_raw_cov_80,val_sel_acc_80,val_reliable_80,val_cov_80,val_class_cov_80
1,0.09999725846827562,1.3480624680471893,0.0,52545.765625,0.0,0.0,1.9287498933537385e-22,5.916368506220238e-10,0.0008255007560364902,1.6089690923690796,0.012216558679938316,3.791163587138873e-20,5.949196702815601e-20,0.0,1.1952097689766277,0.6691253781318665,1.193056583404541,0.08108793199062347,0.08126406863064863,0.1991570144891739,0.9867724776268005,0.0,0.0,0.0,0.33719703555107117,0.9671875238418579,1.0,0.33719703555107117,0.7722772277227723,0.4204425811767578,0.9486215710639954,1.0,0.4204425811767578,0.8712871287128713,0.47312960028648376,0.923162579536438,1.0,0.47312960028648376,0.9207920792079208,0.521601676940918,0.8979797959327698,1.0,0.521601676940918,0.9405940594059405
2,0.09998903417374229,1.127649732155375,3.660822896185126e-06,63487.9140625,4.0924037421063986e-06,6.445957095709571e-11,1.9287498933537385e-22,7.942591651044495e-08,0.011659219861030579,1.6083214282989502,0.012215370312333107,3.7892681803133904e-20,5.378128010015183e-20,0.0,1.0903206639093896,0.6907270550727844,1.0882900953292847,0.062292397022247314,0.062480699447610734,0.20337197184562683,0.9896373152732849,0.0,0.0,0.0,0.3545837700366974,0.9762258529663086,1.0,0.3545837700366974,0.7623762376237624,0.43150684237480164,0.9633699655532837,1.0,0.43150684237480164,0.900990099009901,0.4836670160293579,0.9368191957473755,1.0,0.4836670160293579,0.9207920792079208,0.5258166193962097,0.9128256440162659,1.0,0.5258166193962097,0.9801980198019802
3,0.0999753280182866,0.9743016285471396,9.679614182946036e-06,87310.3203125,1.1255971003265586e-05,1.2891914191419143e-10,1.9287498933537385e-22,7.367115699707938e-07,0.03524506464600563,1.6248598098754883,0.01221753191202879,3.828911457404848e-20,6.015689099367793e-20,0.0,1.0278143635288557,0.7096943855285645,1.0256625413894653,0.047294970601797104,0.04748168556280709,0.20442570745944977,0.9922680258750916,1.0,0.20442570745944977,0.5643564356435643,0.3577449917793274,0.9808542132377625,1.0,0.3577449917793274,0.7227722772277227,0.43097996711730957,0.9633252024650574,1.0,0.43097996711730957,0.8712871287128713,0.4794520437717438,0.9461538195610046,1.0,0.4794520437717438,0.9603960396039604,0.5226554274559021,0.9274193644523621,1.0,0.5226554274559021,0.9702970297029703
4,0.09995614150494293,0.8415892702518123,1.973027875546094e-05,116093.5078125,2.245001269329805e-05,1.9337871287128714e-10,1.9287498933537385e-22,2.942796072602505e-06,0.06374099105596542,1.6344133615493774,0.012221257202327251,3.8525979034922745e-20,5.952246285089537e-20,0.0,0.9548007031260853,0.7197049260139465,0.9527148604393005,0.04312240332365036,0.04332532809833329,0.20758692920207977,0.9974619150161743,1.0,0.20758692920207977,0.5841584158415841,0.37618544697761536,0.981792688369751,1.0,0.37618544697761536,0.7920792079207921,0.453108549118042,0.960465133190155,1.0,0.453108549118042,0.9108910891089109,0.5026343464851379,0.945492684841156,1.0,0.5026343464851379,0.9603960396039604,0.5400421619415283,0.9258536696434021,1.0,0.5400421619415283,0.9603960396039604
5,0.0999314767377287,0.721747908261743,3.418594846296779e-05,148076.296875,3.817973629338667e-05,2.5783828382838285e-10,1.9287498933537385e-22,7.497714705095859e-06,0.09540248662233353,1.6376007795333862,0.012224975042045116,3.8612858848634955e-20,6.041826714254762e-20,0.0,0.8925273928426214,0.7376185655593872,0.890489935874939,0.03240201622247696,0.035379577832428,0.21812434494495392,0.9975845217704773,1.0,0.21812434494495392,0.6039603960396039,0.38408851623535156,0.9821673631668091,1.0,0.38408851623535156,0.8118811881188119,0.459430992603302,0.9713302850723267,1.0,0.459430992603302,0.900990099009901,0.5110642910003662,0.954639196395874,1.0,0.5110642910003662,0.9504950495049505,0.555848240852356,0.9327014088630676,1.0,0.555848240852356,0.9801980198019802
6,0.09990133642141359,0.6280288899889087,5.34925097916598e-05,182999.90625,5.89804767514579e-05,3.2229785478547854e-10,1.9287498933537385e-22,1.436337515769992e-05,0.129973366856575,1.6187442541122437,0.012227502651512623,3.81761333346011e-20,5.796264578486471e-20,0.0,0.8487784744439563,0.7486827969551086,0.8468191027641296,0.030169572681188583,0.03176423034250925,0.22550052404403687,1.0,1.0,0.22550052404403687,0.594059405940594,0.3998946249485016,0.9868247509002686,1.0,0.3998946249485016,0.8118811881188119,0.47629082202911377,0.971238911151886,1.0,0.47629082202911377,0.9108910891089109,0.5300316214561462,0.9622266292572021,1.0,0.5300316214561462,0.9405940594059405,0.574815571308136,0.9440879821777344,1.0,0.574815571308136,0.9801980198019802
7,0.0998657238612229,0.5309933394488722,7.84902576654504e-05,221679.90625,8.5736348410137e-05,3.867574257425743e-10,1.9287498933537385e-22,2.3268481527338736e-05,0.16826142370700836,1.64693284034729,0.012228382751345634,3.8843719787719677e-20,6.22569991713735e-20,0.0,0.8097311198020509,0.7550052404403687,0.8079049587249756,0.030948568135499954,0.0319592873590387,0.23340357840061188,1.0,1.0,0.23340357840061188,0.6039603960396039,0.40516331791877747,0.9869961142539978,1.0,0.40516331791877747,0.8514851485148515,0.49104321002960205,0.975321888923645,1.0,0.49104321002960205,0.9108910891089109,0.5463646054267883,0.9623914957046509,1.0,0.5463646054267883,0.9504950495049505,0.5943098068237305,0.9468085169792175,1.0,0.5943098068237305,0.9702970297029703
8,0.09982464296247523,0.45030335270532285,0.00010935270660015119,261750.71875,0.00011810637806775048,4.5121699669967e-10,1.9287498933537385e-22,3.609431951190345e-05,0.20792260766029358,1.6436322927474976,0.012232243083417416,3.8778114025386565e-20,5.992778135104635e-20,0.0,0.7710332238636479,0.7723919749259949,0.7691891193389893,0.01725342869758606,0.020957722490529743,0.23340357840061188,1.0,1.0,0.23340357840061188,0.6237623762376238,0.4046364724636078,0.9947916865348816,1.0,0.4046364724636078,0.8415841584158416,0.5005268454551697,0.9768421053886414,1.0,0.5005268454551697,0.9405940594059405,0.5574288964271545,0.964083194732666,1.0,0.5574288964271545,0.9702970297029703,0.6022128462791443,0.9483814239501953,1.0,0.6022128462791443,0.9801980198019802
9,0.099778098230154,0.38779635299550425,0.00014590877001657897,302527.53125,0.0001560063537908718,5.156765676567657e-10,1.9287498933537385e-22,5.5396238167304546e-05,0.24827627837657928,1.6651506423950195,0.012234900146722794,3.929432642640794e-20,5.619784948563429e-20,0.0,0.7421037677216203,0.773445725440979,0.7403066158294678,0.021074514836072922,0.028147716934864335,0.232876718044281,1.0,1.0,0.232876718044281,0.6138613861386139,0.40990516543388367,0.9948586225509644,1.0,0.40990516543388367,0.8514851485148515,0.508956789970398,0.9751552939414978,1.0,0.508956789970398,0.9504950495049505,0.5669125318527222,0.9618958830833435,1.0,0.5669125318527222,0.9801980198019802,0.6122233867645264,0.9535284042358398,1.0,0.6122233867645264,0.9900990099009901
10,0.09972609476841367,0.33772063624150683,0.00018808964797235693,343924.25,0.0001995228958548978,5.801361386138614e-10,1.9287498933537385e-22,8.384176180697978e-05,0.28923463821411133,1.6364656686782837,0.012239474803209305,3.863185815332953e-20,5.639252127291982e-20,0.0,0.721230131054829,0.7855637669563293,0.7194133400917053,0.02223348058760166,0.02139441381641384,0.23919916152954102,1.0,1.0,0.23919916152954102,0.6435643564356436,0.4225500524044037,0.9900249242782593,1.0,0.4225500524044037,0.8712871287128713,0.5136986374855042,0.9733333587646484,1.0,0.5136986374855042,0.9504950495049505,0.574815571308136,0.9642530083656311,1.0,0.574815571308136,0.9900990099009901,0.6264488697052002,0.9571068286895752,1.0,0.6264488697052002,0.9900990099009901
